Rainfall - (MM), Year, Statistics, Country, ISO3
40.3, 1918, Nov Average, South Africa, ZAF
63.0, 1918, Dec Average, South Africa, ZAF
53.0, 1919, Jan Average, South Africa, ZAF
45.9, 1919, Feb Average, South Africa, ZAF
57.5, 1919, Mar Average, South Africa, ZAF
34.5, 1919, Apr Average, South Africa, ZAF
8.1, 1919, May Average, South Africa, ZAF
7.5, 1919, Jun Average, South Africa, ZAF
7.4, 1919, Jul Average, South Africa, ZAF
13.0, 1919, Aug Average, South Africa, ZAF
15.2, 1919, Sep Average, South Africa, ZAF
15.5, 1919, Oct Average, South Africa, ZAF
60.6, 1919, Nov Average, South Africa, ZAF
28.2, 1919, Dec Average, South Africa, ZAF
86.3, 1920, Jan Average, South Africa, ZAF
111.9, 1920, Feb Average, South Africa, ZAF
81.7, 1920, Mar Average, South Africa, ZAF
12.9, 1920, Apr Average, South Africa, ZAF
16.8, 1920, May Average, South Africa, ZAF
14.2, 1920, Jun Average, South Africa, ZAF
11.8, 1920, Jul Average, South Africa, ZAF
13.5, 1920, Aug Average, South Africa, ZAF
24.0, 1920, Sep Average, South Africa, ZAF
52.4, 1920, Oct Average, South Africa, ZAF
36.0, 1920, Nov Average, South Africa, ZAF
53.7, 1920, Dec Average, South Africa, ZAF
37.4, 1921, Jan Average, South Africa, ZAF
90.1, 1921, Feb Average, South Africa, ZAF
111.5, 1921, Mar Average, South Africa, ZAF
45.4, 1921, Apr Average, South Africa, ZAF
21.1, 1921, May Average, South Africa, ZAF
20.6, 1921, Jun Average, South Africa, ZAF
9.0, 1921, Jul Average, South Africa, ZAF
7.6, 1921, Aug Average, South Africa, ZAF
20.3, 1921, Sep Average, South Africa, ZAF
35.2, 1921, Oct Average, South Africa, ZAF
86.3, 1921, Nov Average, South Africa, ZAF
82.9, 1921, Dec Average, South Africa, ZAF
54.8, 1922, Jan Average, South Africa, ZAF
33.7, 1922, Feb Average, South Africa, ZAF
39.1, 1922, Mar Average, South Africa, ZAF
12.7, 1922, Apr Average, South Africa, ZAF
23.4, 1922, May Average, South Africa, ZAF
21.6, 1922, Jun Average, South Africa, ZAF
8.3, 1922, Jul Average, South Africa, ZAF
28.6, 1922, Aug Average, South Africa, ZAF
15.2, 1922, Sep Average, South Africa, ZAF
42.3, 1922, Oct Average, South Africa, ZAF
80.6, 1922, Nov Average, South Africa, ZAF
44.6, 1922, Dec Average, South Africa, ZAF
109.2, 1923, Jan Average, South Africa, ZAF
87.8, 1923, Feb Average, South Africa, ZAF
43.1, 1923, Mar Average, South Africa, ZAF
30.2, 1923, Apr Average, South Africa, ZAF
23.1, 1923, May Average, South Africa, ZAF
18.9, 1923, Jun Average, South Africa, ZAF
18.5, 1923, Jul Average, South Africa, ZAF
7.7, 1923, Aug Average, South Africa, ZAF
5.4, 1923, Sep Average, South Africa, ZAF
19.9, 1923, Oct Average, South Africa, ZAF
48.8, 1923, Nov Average, South Africa, ZAF
46.9, 1923, Dec Average, South Africa, ZAF
50.7, 1924, Jan Average, South Africa, ZAF
52.9, 1924, Feb Average, South Africa, ZAF
97.0, 1924, Mar Average, South Africa, ZAF
16.1, 1924, Apr Average, South Africa, ZAF
14.0, 1924, May Average, South Africa, ZAF
7.5, 1924, Jun Average, South Africa, ZAF
5.8, 1924, Jul Average, South Africa, ZAF
15.1, 1924, Aug Average, South Africa, ZAF
33.2, 1924, Sep Average, South Africa, ZAF
31.3, 1924, Oct Average, South Africa, ZAF
68.2, 1924, Nov Average, South Africa, ZAF
97.6, 1924, Dec Average, South Africa, ZAF
60.3, 1925, Jan Average, South Africa, ZAF
65.6, 1925, Feb Average, South Africa, ZAF
142.1, 1925, Mar Average, South Africa, ZAF
62.0, 1925, Apr Average, South Africa, ZAF
32.9, 1925, May Average, South Africa, ZAF
26.0, 1925, Jun Average, South Africa, ZAF
17.2, 1925, Jul Average, South Africa, ZAF
6.7, 1925, Aug Average, South Africa, ZAF
42.2, 1925, Sep Average, South Africa, ZAF
26.3, 1925, Oct Average, South Africa, ZAF
40.5, 1925, Nov Average, South Africa, ZAF
40.0, 1925, Dec Average, South Africa, ZAF
44.9, 1926, Jan Average, South Africa, ZAF
46.2, 1926, Feb Average, South Africa, ZAF
57.9, 1926, Mar Average, South Africa, ZAF
13.7, 1926, Apr Average, South Africa, ZAF
20.6, 1926, May Average, South Africa, ZAF
14.3, 1926, Jun Average, South Africa, ZAF
11.8, 1926, Jul Average, South Africa, ZAF
4.3, 1926, Aug Average, South Africa, ZAF
27.9, 1926, Sep Average, South Africa, ZAF
33.5, 1926, Oct Average, South Africa, ZAF
53.7, 1926, Nov Average, South Africa, ZAF
49.6, 1926, Dec Average, South Africa, ZAF
45.0, 1927, Jan Average, South Africa, ZAF
50.2, 1927, Feb Average, South Africa, ZAF
71.5, 1927, Mar Average, South Africa, ZAF
19.3, 1927, Apr Average, South Africa, ZAF
9.5, 1927, May Average, South Africa, ZAF
3.7, 1927, Jun Average, South Africa, ZAF
17.0, 1927, Jul Average, South Africa, ZAF
14.9, 1927, Aug Average, South Africa, ZAF
7.0, 1927, Sep Average, South Africa, ZAF
53.9, 1927, Oct Average, South Africa, ZAF
29.4, 1927, Nov Average, South Africa, ZAF
60.0, 1927, Dec Average, South Africa, ZAF
86.4, 1928, Jan Average, South Africa, ZAF
46.3, 1928, Feb Average, South Africa, ZAF
80.2, 1928, Mar Average, South Africa, ZAF
24.9, 1928, Apr Average, South Africa, ZAF
5.5, 1928, May Average, South Africa, ZAF
7.9, 1928, Jun Average, South Africa, ZAF
3.9, 1928, Jul Average, South Africa, ZAF
16.4, 1928, Aug Average, South Africa, ZAF
29.9, 1928, Sep Average, South Africa, ZAF
29.3, 1928, Oct Average, South Africa, ZAF
50.1, 1928, Nov Average, South Africa, ZAF
52.7, 1928, Dec Average, South Africa, ZAF
59.8, 1929, Jan Average, South Africa, ZAF
